brand,model,year,age_years,distance_driven_km,engine_litres,price_aud,fuel_type,gearbox
Mercedes-Benz,Mercedes-Benz CLA 250 7G-DCT,2019,7,85000,30.0,28462,Petrol,Automatic
Mercedes-Benz,Mercedes-Benz Klasa E 220 d 4-Matic Business Edition,2021,5,71000,19.5,91200,Diesel,Automatic
Bentley,Bentley Continental GT Speed,2014,12,60000,39.9,147820,Petrol,Automatic
Maserati,Maserati GranTurismo MC Stradale,2011,15,84000,46.9,97660,Petrol,Automatic
Volkswagen,Volkswagen Tiguan 2.0 TSI BMT 4Mot Highline DSG,2018,8,65226,19.7,43662,Diesel,Automatic
Bentley,Bentley Bentayga Diesel,2018,8,49500,60.0,300162,Petrol,Automatic
Volvo,Volvo C70,2014,12,206000,19.7,22002,Diesel,Manual
BMW,BMW 3GT 318d Advantage,2015,11,115700,44.0,34143,Petrol,Automatic
SEAT,Seat Leon,2021,5,2962,15.0,39482,Petrol,Manual
Aston Martin,Aston Martin Rapide,2011,15,112,59.4,163020,Petrol,Automatic
Volvo,Volvo S40 2.0D Summum,2000,26,250402,19.8,6840,Petrol and LPG,Manual
Smart,Smart Forfour passion,2003,23,172000,6.0,4332,Petrol,Manual
Opel,Opel Corsa Corsa-e GS Line,2023,3,5,16.0,61902,Hybrid,Automatic
Land Rover,Land Rover Range Rover Velar 2.0 SD4 R-Dynamic,2019,7,89700,20.0,79420,Diesel,Automatic
Jeep,Jeep Wrangler 2.8 CRD Unlim Sahara,2013,13,115010,36.1,44080,Petrol,Automatic
Volvo,Volvo C30 1.6D,2006,20,248000,20.0,5282,Diesel,Manual
Porsche,Porsche 718 Boxster,2019,7,102,19.9,98420,Petrol,Manual
Renault,Renault Laguna 2.0 dCi Bose Edition,2010,16,229000,11.5,9348,Petrol,Manual
Bentley,Bentley Continental GT V8 S,2017,9,31641,39.9,233700,Petrol,Automatic
Volvo,Volvo XC 40 D3 SCR,2019,7,140000,19.7,37962,Diesel,Automatic
Ford,Ford Fiesta 1.0 EcoBoost GPF ST-Line ASS,2015,11,222000,20.0,23522,Diesel,Manual
Kia,Kia Sportage 1.7 CRDI Business Line 2WD,2016,10,110000,15.8,29982,Diesel,Manual
Ford,Ford Fiesta 1.0 EcoBoost S&S TITANIUM,2011,15,240000,16.0,11400,Petrol,Manual
Volkswagen,Volkswagen Passat Variant 2.0 TDI SCR BlueMotion Comfortline,2019,7,71159,10.0,18240,Petrol,Manual
Opel,Opel Insignia 2.0 CDTI Edition ecoFLEX S&S,2013,13,76000,13.6,12882,Petrol,Manual
Opel,Opel Astra 1.7 CDTI DPF Active,2013,13,242123,19.6,10222,Diesel,Manual
Toyota,Toyota Land Cruiser,1998,28,188000,34.0,22610,Petrol,Automatic
Toyota,Toyota Aygo X 1.0 VVT-i Style,2022,4,10,16.2,30324,Petrol,Manual
Renault,Renault Captur 1.0 TCe Intens,2022,4,1,13.3,30362,Petrol,Manual
BMW,BMW Seria 4,2011,15,225000,20.0,45600,Diesel,Automatic
Porsche,Porsche Boxster S,2009,17,97000,36.1,53195,Petrol,Manual
Volvo,Volvo XC 60 D4 AWD R-Design Momentum,2019,7,163000,19.7,30400,Diesel,Automatic
Renault,Renault Grand Scenic Gr 2.0 dCi Expression,2007,19,146000,11.5,6840,Petrol,Automatic
Toyota,Toyota C-HR,2017,9,68088,18.0,50502,Hybrid,Automatic
Honda,Honda Jazz 1.4 i-VTEC i-Shift Exclusive,2008,18,214000,23.5,9310,Petrol and LPG,Automatic
Renault,Renault Captur,2019,7,86535,9.0,17062,Petrol,Manual
Mercedes-Benz,Mercedes-Benz Klasa C 200 d T 9G-TRONIC,2018,8,130000,19.5,33820,Diesel,Automatic
Opel,Opel Astra,2007,19,126782,13.6,5130,Petrol,Manual
Volvo,Volvo XC 60,2015,11,156000,29.5,52744,Petrol,Automatic
Honda,Honda Jazz 1.2 Base,2007,19,175000,18.0,4636,Petrol,Manual
Mercedes-Benz,Mercedes-Benz GLC,2019,7,61900,16.0,69920,Petrol,Automatic
Porsche,Porsche Boxster 2.5,1999,27,62400,24.8,30400,Petrol,Manual
Jeep,Jeep Renegade,2023,3,5,14.7,52022,Petrol,Automatic
Bentley,Bentley Continental GT V8,2013,13,14500,60.0,94962,Petrol,Automatic
BMW,BMW X2 sDrive18i Advantage,2021,5,4600,20.0,50084,Petrol,Automatic
Porsche,Porsche Panamera GTS Sport Turismo,2020,6,57123,30.0,227962,Hybrid,Automatic
BMW,BMW Seria 7 750Ld xDrive,2017,9,160000,15.0,94620,Diesel,Automatic
Bentley,Bentley Continental GT,2010,16,116000,60.0,113620,Petrol,Automatic
Peugeot,Peugeot 2008 BlueHDi 100 STOP & START Business-Line,2018,8,25800,12.0,16226,Petrol,Manual
Rover,Rover 75 R 2.5i V6,1999,27,239431,25.0,2090,Petrol,Automatic
Porsche,Porsche 718 Cayman S,2018,8,44000,25.0,111340,Petrol,Manual
Mercedes-Benz,Mercedes-Benz CLA AMG 45 4-Matic,2018,8,56100,19.5,54720,Diesel,Automatic
Skoda,Skoda Octavia 2.0 TDI Ambition,2013,13,256000,19.7,17062,Diesel,Manual
Volvo,Volvo XC 40,2020,6,101565,19.7,67982,Diesel,Automatic
Opel,Opel Astra 1.6 Turbo Innovation,2011,15,178000,14.0,12084,Petrol,Manual
Opel,Opel Zafira,2009,17,240000,19.6,7410,Diesel,Automatic
BMW,BMW Seria 5,2013,13,132000,44.0,24662,Petrol,Automatic
Mercedes-Benz,Mercedes-Benz Klasa G AMG 63,2019,7,69900,29.3,172900,Diesel,Automatic
BMW,BMW Seria 3 330i Touring xDrive Edition M Sport Shadow,2016,10,49000,29.8,46170,Petrol,Automatic
Opel,Opel Meriva,2005,21,192300,13.6,3382,Petrol,Manual
Rover,Rover 75,2002,24,245600,18.0,1862,Petrol and LPG,Manual
Bentley,Bentley Continental GT W12,2014,12,35000,60.0,113620,Petrol,Automatic
Ferrari,Ferrari F430 Spider F1,2007,19,50000,43.1,224162,Petrol,Automatic
Maserati,Maserati GranTurismo Sport,2014,12,108000,28.8,71440,Petrol,Automatic
Bentley,Bentley Continental GT,2017,9,117852,59.5,490200,Petrol,Automatic
Volvo,Volvo 850 2.5 GLE,1999,27,276000,19.8,5510,Petrol,Manual
Hyundai,Hyundai Tucson,2008,18,228547,21.9,9082,Diesel,Manual
Porsche,Porsche 911,2002,24,190000,36.0,79420,Petrol,Manual
Renault,Renault Master,2012,14,136650,14.0,15542,Petrol,Manual
Porsche,Porsche 911 Carrera Cabrio,2007,19,182000,38.0,41420,Petrol,Manual
Peugeot,Peugeot 5008 BlueHDI 180 EAT8 GT,2018,8,168000,15.6,29830,Diesel,Automatic
Honda,Honda HR-V 1.6 4WD,1997,29,310000,14.0,5624,Petrol and LPG,Manual
Nissan,Nissan Patrol GR 2.8 TDI,1998,28,296000,28.3,11400,Diesel,Manual
Volvo,Volvo XC 70,2008,18,442000,24.0,8360,Diesel,Automatic
Ford,Ford Mondeo 1.5 EcoBoost Titanium,2017,9,89000,16.0,16222,Petrol,Manual
Bentley,Bentley Bentayga W12,2017,9,117852,59.5,376200,Petrol,Automatic
Renault,Renault Kadjar 1.2 Energy TCe Intens,2018,8,98000,16.0,13262,Diesel,Manual
Toyota,Toyota Proace Verso 2.0 D4-D Long Business,2023,3,1,15.0,76186,Diesel,Manual
Maserati,Maserati Coupe 4200 Cambiocorsa,2000,26,138123,32.2,37620,Petrol,Automatic
Opel,Opel Vivaro,2010,16,80000,14.0,23522,Petrol,Manual
Toyota,Toyota C-HR,2021,5,35762,18.0,39824,Hybrid,Automatic
BMW,BMW Seria 2,2015,11,212000,29.9,22382,Diesel,Automatic
Aston Martin,Aston Martin Vantage,2013,13,43000,59.4,117800,Petrol,Automatic
Saab,Saab 9-3,2006,20,238000,20.0,22762,Petrol,Automatic
BMW,BMW Seria 3 318d,2018,8,108000,30.0,20862,Petrol,Automatic
Volkswagen,Volkswagen Golf,2021,5,11000,15.0,59470,Petrol,Automatic
Maserati,Maserati Quattroporte Q4,2015,11,93718,29.8,96900,Petrol,Automatic
Opel,Opel Insignia,2010,16,205000,12.3,9842,Petrol and LPG,Manual
Citroen,Citroën C3 1.2 PureTech Feel,2022,4,5321,12.0,25802,Petrol,Manual
BMW,BMW X3 xDrive20d,2013,13,67000,44.0,18236,Petrol,Automatic
Opel,Opel Insignia 2.0 CDTI Innovation S&S,2023,3,8630,12.0,30400,Petrol,Manual
Bentley,Bentley Bentayga W12,2017,9,55688,60.0,300200,Petrol,Automatic
Mazda,Mazda CX-3,2018,8,12062,20.0,30362,Petrol,Automatic
Bentley,Bentley Continental GT,2017,9,52759,39.9,467400,Petrol,Automatic
BMW,BMW Seria 5 520d xDrive Luxury Line,2015,11,155700,20.0,63042,Diesel,Automatic
Opel,Opel Astra IV 1.6 Active,2018,8,160000,16.0,16302,Diesel,Manual
Porsche,Porsche 911,2005,21,128000,36.0,87362,Petrol,Automatic
Volkswagen,Volkswagen T-Roc 1.5 TSI ACT Advance,2020,6,24000,10.0,37202,Petrol,Manual
Porsche,Porsche 718 Cayman S,2018,8,44000,25.0,111340,Petrol,Manual
Mercedes-Benz,Mercedes-Benz CLS,2010,16,258000,29.9,22382,Diesel,Automatic
SEAT,Seat Exeo 2.0 TDI DPF Sport,2013,13,126000,12.0,2774,Petrol,Manual
Aston Martin,Aston Martin Vantage,2013,13,43000,59.4,151620,Petrol,Automatic
Maserati,Maserati Ghibli S Q4 GranSport,2019,7,55500,29.8,95000,Petrol,Automatic
Toyota,Toyota Avensis 2.0 D-4D Active Business,2015,11,265000,20.0,16302,Diesel,Manual
Maserati,Maserati Ghibli S,2015,11,143000,29.8,52820,Petrol,Automatic
SEAT,Seat Arona,2020,6,15975,15.0,36340,Petrol,Manual
Toyota,Toyota Corolla Verso 1.8 Sol 7os MM,2006,20,225000,17.9,6574,Petrol,Automatic
Peugeot,Peugeot 308 1.6 BlueHDi Active S&S,2015,11,159172,20.0,10450,Diesel,Manual
Jeep,Jeep Renegade,2016,10,102500,19.6,32262,Diesel,Manual
Volkswagen,Volkswagen Touran 1.6 TDI DPF BlueMotion Technology Cup,2013,13,129000,14.0,11362,Petrol,Manual
Volkswagen,Volkswagen Amarok DC 2.0 BiTDI 4Mot Highline,2010,16,283000,19.7,30400,Diesel,Automatic
Bentley,Bentley Continental GT,2015,11,50000,39.9,429020,Petrol,Automatic
Toyota,Toyota Corolla,2021,5,120537,18.0,37962,Hybrid,Automatic
Peugeot,Peugeot 308 1.2 PureTech GPF Allure Pack S&S EAT8,2021,5,29000,20.0,48560,Diesel,Automatic
Volvo,Volvo C30,2012,14,259000,19.8,11400,Diesel,Manual
Volkswagen,Volkswagen Touran 1.4 TSI Comfortline Perfectline,2012,14,166910,13.9,13984,Petrol,Manual
BMW,BMW X4,2019,7,47000,30.0,81662,Petrol,Automatic
Peugeot,Peugeot 508 SW BlueHDi 180 EAT6 Stop&Start Allure,2018,8,75776,12.0,17822,Petrol,Automatic
SEAT,Seat Alhambra 1.9 TDi Luxus,1999,27,290072,17.8,1900,Petrol,Manual
Volvo,Volvo XC 60 D5 AWD Summum,2014,12,186940,19.7,30362,Diesel,Automatic
Renault,Renault Koleos,2008,18,211045,29.6,9939,Diesel,Automatic
Porsche,Porsche 911,1999,27,175777,24.8,35720,Petrol,Automatic
Ford,Ford Focus 1.5 TDCi SYNC Edition ASS,2015,11,185191,20.0,14782,Diesel,Manual
Bentley,Bentley Continental GT New,2019,7,12000,60.0,452200,Petrol,Automatic
SEAT,Seat Ibiza SC 1.2 TSI FR,2016,10,254220,19.7,11020,Diesel,Manual
BMW,BMW X5 xDrive40d,2013,13,210000,20.0,57000,Petrol,Automatic
Peugeot,Peugeot 508,2015,11,107000,20.0,17062,Diesel,Automatic
Opel,Opel Meriva 1.6 Enjoy,2006,20,157000,16.0,4636,Petrol,Manual
Citroen,Citroën C2,2003,23,296340,20.0,2850,Petrol,Automatic
Hyundai,Hyundai I30 1.6 CRDi Classic,2012,14,210476,15.9,5092,Petrol,Manual
Alfa Romeo,Alfa Romeo Stelvio 2.0 Turbo Veloce Q4,2022,4,1,20.0,87240,Petrol,Automatic
Renault,Renault Megane 1.6 16V 110 Authentique,2011,15,199000,20.0,8702,Diesel,Manual
Nissan,Nissan Micra 1.2 Acenta EU6,2016,10,200296,14.6,11742,Diesel,Manual
Ford,Ford Fiesta 1.4 Gold X EU5,2013,13,224715,10.0,9044,Petrol,Manual
Opel,Opel Insignia 1.6 CDTI,2019,7,122000,20.0,15466,Diesel,Automatic
Aston Martin,Aston Martin V8 Vantage,2006,20,69000,43.0,106023,Petrol,Manual
Infiniti,Infiniti G G37 AWD GT Premium,2005,21,270000,35.0,11514,Petrol and LPG,Automatic
Maserati,Maserati Ghibli,2017,9,112773,29.8,28500,Petrol,Automatic
Porsche,Porsche Cayenne S,2007,19,156900,36.0,6384,Petrol,Manual
Ford,Ford Transit Connect,2017,9,170000,20.0,9082,Diesel,Manual
Bentley,Bentley Continental GT W12,2013,13,29201,60.0,147820,Petrol,Automatic
Bentley,Bentley Bentayga,2019,7,51354,39.9,220400,Petrol,Automatic
Opel,Opel Grandland X 1.2 T GPF Design Line S&S,2022,4,5220,12.0,36822,Petrol,Automatic
Toyota,Toyota Verso 1.6 D-4D 5-Sitzer Start/Stop Skyview Edition,2011,15,157000,13.3,16302,Petrol,Manual
Volvo,Volvo V70,2011,15,164000,15.6,16682,Diesel,Manual
Toyota,Toyota Corolla,2021,5,30138,12.0,32262,Petrol,Manual
Maserati,Maserati Quattroporte S Q4,2018,8,78300,29.8,89680,Petrol,Automatic
Maserati,Maserati Ghibli,2018,8,130000,29.9,18962,Diesel,Automatic
Opel,Opel Combo Tour 1.6 CDTI Cosmo,2012,14,192000,16.0,12502,Diesel,Manual
Peugeot,Peugeot 3008 1.6 BlueHDi Style S&S,2015,11,66000,10.0,18962,Petrol,Manual
Porsche,Porsche 911,2008,18,178000,48.1,94620,Petrol,Automatic
Opel,Opel Corsa,2007,19,131820,12.3,1140,Petrol,Manual
Volvo,Volvo XC 40,2020,6,45928,14.8,45562,Petrol,Manual
Hyundai,Hyundai I30 1.6 GDI Premium,2013,13,228000,15.8,12882,Diesel,Manual
Porsche,Porsche Boxster,1997,29,223000,24.8,18962,Petrol,Manual
