player,team,position,age,years_experience,height_cm,weight_kg,salary,games_played,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game
Brad Wanamaker,Boston Celtics,Point guard,30,1,190.5,95.3,1445697.0,99.0,15.7,5.6,1.7,2.2
Carsen Edwards,Boston Celtics,Point guard,22,0,180.3,90.7,1228026.0,35.0,9.0,3.0,1.2,0.6
Daniel Theis,Boston Celtics,Centre,27,2,203.2,111.1,5000000.0,187.0,17.2,6.7,4.7,1.2
Enes Kanter,Boston Celtics,Centre,27,8,208.3,113.4,4767000.0,634.0,21.8,11.6,7.6,0.9
Gordon Hayward,Boston Celtics,Small forward,30,9,200.7,102.1,32700690.0,634.0,30.8,15.3,4.4,3.5
Grant Williams,Boston Celtics,Power forward,21,0,198.1,107.0,2379840.0,62.0,15.6,3.5,2.7,1.0
Javonte Green,Boston Celtics,Shooting guard,26,0,193.0,93.0,898310.0,44.0,9.4,2.9,1.8,0.5
Jaylen Brown,Boston Celtics,Shooting guard,23,3,198.1,101.2,6534829.0,272.0,26.1,12.9,4.4,1.4
Jayson Tatum,Boston Celtics,Power forward,22,2,203.2,95.3,7830000.0,218.0,31.8,17.2,5.9,2.2
Kemba Walker,Boston Celtics,Point guard,29,8,182.9,83.5,32742000.0,655.0,33.9,20.0,3.8,5.4
Marcus Smart,Boston Celtics,Point guard,26,5,190.5,99.8,12553571.0,394.0,29.0,9.9,3.6,4.0
Romeo Langford,Boston Celtics,Shooting guard,20,0,193.0,98.0,3458400.0,27.0,11.0,2.6,1.2,0.2
Semi Ojeleye,Boston Celtics,Power forward,25,2,198.1,108.9,1618520.0,190.0,13.9,3.0,2.0,0.4
Tacko Fall,Boston Celtics,Centre,24,0,226.1,141.1,0.0,6.0,4.0,3.2,1.8,0.0
Tremont Waters,Boston Celtics,Point guard,22,0,177.8,79.4,0.0,10.0,8.9,3.3,0.9,1.2
Vincent Poirier,Boston Celtics,Centre,26,0,213.4,106.6,2505793.0,21.0,5.4,1.9,1.6,0.3
Caris LeVert,Brooklyn Nets,Shooting guard,25,3,198.1,93.0,2625718.0,207.0,25.6,12.4,3.7,3.5
Chris Chiozza,Brooklyn Nets,Point guard,24,1,180.3,79.8,0.0,28.0,10.1,3.2,1.4,1.9
DeAndre Jordan,Brooklyn Nets,Centre,31,11,210.8,120.2,9881598.0,875.0,27.8,9.5,10.8,0.9
Dzanan Musa,Brooklyn Nets,Shooting guard,20,1,205.7,98.4,1911600.0,44.0,10.1,3.8,1.7,0.8
Garrett Temple,Brooklyn Nets,Shooting guard,33,9,195.6,88.5,4767000.0,569.0,21.0,6.3,2.3,1.7
Jarrett Allen,Brooklyn Nets,Centre,21,2,210.8,110.2,2376840.0,216.0,24.0,9.9,7.7,1.1
Jeremiah Martin,Brooklyn Nets,Point guard,23,0,188.0,83.9,,3.0,5.3,0.7,0.7,0.7
Joe Harris,Brooklyn Nets,Small forward,28,5,198.1,99.8,7666667.0,325.0,24.2,10.3,3.1,1.6
Justin Anderson,Brooklyn Nets,Shooting guard,26,4,195.6,104.8,,219.0,13.1,5.3,2.5,0.7
Kevin Durant,Brooklyn Nets,Small forward,31,12,208.3,108.9,38199000.0,849.0,36.9,27.0,7.1,4.1
Kyrie Irving,Brooklyn Nets,Point guard,28,8,188.0,88.5,31742000.0,528.0,33.8,22.4,3.7,5.7
Nicolas Claxton,Brooklyn Nets,Power forward,20,0,210.8,97.5,898310.0,15.0,12.5,4.4,2.9,1.1
Rodions Kurucs,Brooklyn Nets,Small forward,22,1,205.7,103.4,1699236.0,102.0,17.6,6.8,3.4,0.8
Spencer Dinwiddie,Brooklyn Nets,Point guard,26,5,195.6,97.5,10605600.0,317.0,25.7,12.9,2.8,5.0
Taurean Prince,Brooklyn Nets,Power forward,26,3,200.7,98.9,3481986.0,260.0,26.4,11.6,4.3,1.9
Theo Pinson,Brooklyn Nets,Shooting guard,24,1,195.6,96.2,1445697.0,51.0,11.3,3.9,1.8,1.5
Wilson Chandler,Brooklyn Nets,Small forward,32,11,203.2,106.6,1620564.0,676.0,30.0,12.5,5.3,1.8
Allonzo Trier,New York Knicks,Shooting guard,24,1,193.0,90.7,3551000.0,88.0,19.9,9.7,2.6,1.7
Bobby Portis,New York Knicks,Power forward,25,4,208.3,113.4,15000000.0,315.0,20.4,10.2,5.9,1.2
Damyean Dotson,New York Knicks,Shooting guard,25,2,195.6,95.3,1618520.0,165.0,20.1,7.8,2.6,1.4
Elfrid Payton,New York Knicks,Point guard,26,5,190.5,88.5,8000000.0,387.0,29.3,11.0,4.4,6.6
Frank Ntilikina,New York Knicks,Point guard,21,2,193.0,90.7,4855800.0,178.0,21.3,6.0,2.2,3.1
Ignas Brazdeikis,New York Knicks,Small forward,21,0,198.1,100.2,898310.0,9.0,5.9,1.9,0.6,0.4
Julius Randle,New York Knicks,Power forward,25,5,203.2,113.4,18000000.0,375.0,29.2,16.1,9.0,2.8
Kadeem Allen,New York Knicks,Shooting guard,27,2,185.4,90.7,0.0,47.0,13.6,5.5,1.5,2.3
Kenny Wooten,New York Knicks,Power forward,21,0,205.7,102.1,0.0,,,,,
Maurice Harkless,New York Knicks,Small forward,26,7,200.7,99.8,11011234.0,537.0,23.1,7.2,3.7,0.9
Mitchell Robinson,New York Knicks,Centre,21,1,213.4,108.9,1599712.0,127.0,21.8,8.5,6.7,0.6
RJ Barrett,New York Knicks,Shooting guard,19,0,198.1,97.1,7839960.0,56.0,30.4,14.3,5.0,2.6
Reggie Bullock,New York Knicks,Small forward,29,6,198.1,93.0,4000000.0,301.0,19.7,6.9,2.1,1.1
Taj Gibson,New York Knicks,Centre,34,10,205.7,105.2,9000000.0,799.0,25.2,9.5,6.3,1.0
Wayne Ellington,New York Knicks,Shooting guard,32,10,193.0,93.9,8000000.0,681.0,21.0,8.0,2.2,1.1
Al Horford,Philadelphia 76Ers,Power forward,33,12,205.7,108.9,28000000.0,846.0,32.7,14.0,8.3,3.3
Alec Burks,Philadelphia 76Ers,Shooting guard,28,8,198.1,97.1,1620564.0,488.0,21.9,10.2,3.2,1.8
Ben Simmons,Philadelphia 76Ers,Point guard,23,2,208.3,108.9,8113930.0,214.0,34.4,16.4,8.3,8.0
Furkan Korkmaz,Philadelphia 76Ers,Shooting guard,22,2,200.7,91.6,1620564.0,126.0,17.1,7.3,2.1,1.0
Joel Embiid,Philadelphia 76Ers,Centre,26,3,213.4,127.0,27504630.0,202.0,30.6,24.1,11.5,3.1
Josh Richardson,Philadelphia 76Ers,Shooting guard,26,4,195.6,90.7,10116576.0,307.0,30.7,12.4,3.2,2.9
Marial Shayok,Philadelphia 76Ers,Shooting guard,24,0,195.6,89.8,0.0,2.0,5.0,1.5,1.5,0.5
Matisse Thybulle,Philadelphia 76Ers,Shooting guard,23,0,195.6,91.2,2582160.0,57.0,19.5,4.7,1.5,1.2
Mike Scott,Philadelphia 76Ers,Power forward,31,7,200.7,107.5,4767000.0,499.0,16.5,7.0,3.2,0.9
Norvel Pelle,Philadelphia 76Ers,Small forward,27,0,208.3,104.8,350189.0,20.0,8.9,2.1,3.0,0.4
Raul Neto,Philadelphia 76Ers,Point guard,27,4,185.4,81.6,1620564.0,248.0,13.6,4.7,1.3,1.8
Shake Milton,Philadelphia 76Ers,Shooting guard,23,1,195.6,93.0,1455697.0,52.0,16.9,7.5,2.0,1.7
Tobias Harris,Philadelphia 76Ers,Small forward,27,8,203.2,102.5,32742000.0,611.0,30.8,15.9,6.0,2.0
Zhaire Smith,Philadelphia 76Ers,Shooting guard,20,1,190.5,93.0,3058800.0,13.0,11.0,3.7,1.2,0.9
Chris Boucher,Toronto Raptors,Power forward,27,2,205.7,90.7,1588231.0,84.0,10.6,5.3,3.6,0.3
Dewan Hernandez,Toronto Raptors,Centre,23,0,208.3,106.6,898310.0,4.0,2.8,1.0,1.8,0.0
Fred VanVleet,Toronto Raptors,Shooting guard,26,3,185.4,89.4,9346153.0,225.0,23.5,10.3,2.5,4.0
Kyle Lowry,Toronto Raptors,Point guard,34,13,182.9,88.9,34996296.0,908.0,31.6,14.7,4.3,6.2
Malcolm Miller,Toronto Raptors,Shooting guard,27,2,200.7,95.3,1588231.0,50.0,6.4,1.9,0.7,0.2
Marc Gasol,Toronto Raptors,Centre,35,11,210.8,115.7,25595700.0,831.0,33.2,14.7,7.6,3.4
Matt Thomas,Toronto Raptors,Shooting guard,25,0,193.0,86.2,898310.0,33.0,9.7,4.5,1.5,0.5
Norman Powell,Toronto Raptors,Shooting guard,26,4,190.5,97.5,10116576.0,299.0,18.6,8.5,2.3,1.3
OG Anunoby,Toronto Raptors,Small forward,22,2,200.7,105.2,2281800.0,204.0,23.2,7.8,3.5,1.0
Oshae Brissett,Toronto Raptors,Small forward,21,0,200.7,95.3,0.0,19.0,7.1,1.9,1.4,0.4
Pascal Siakam,Toronto Raptors,Power forward,25,3,205.7,104.3,2351839.0,269.0,25.9,12.7,5.6,2.3
Patrick McCaw,Toronto Raptors,Small forward,24,3,200.7,82.1,4000000.0,194.0,17.2,3.9,1.6,1.4
Paul Watson,Toronto Raptors,Small forward,25,0,198.1,95.3,0.0,5.0,5.0,0.2,0.8,1.0
Serge Ibaka,Toronto Raptors,Centre,30,10,213.4,106.6,23271604.0,803.0,28.6,12.6,7.4,0.8
Stanley Johnson,Toronto Raptors,Small forward,23,4,198.1,109.8,3623000.0,305.0,20.5,6.6,3.2,1.4
Terence Davis,Toronto Raptors,Shooting guard,22,0,193.0,91.2,898310.0,64.0,17.0,7.7,3.4,1.7
Adam Mokoka,Chicago Bulls,Shooting guard,21,0,195.6,86.2,0.0,11.0,10.2,2.9,0.9,0.4
Chandler Hutchison,Chicago Bulls,Small forward,23,1,200.7,95.3,2332320.0,72.0,19.8,6.2,4.1,0.8
Coby White,Chicago Bulls,Point guard,20,0,193.0,88.5,5307120.0,65.0,25.8,13.2,3.5,2.7
Cristiano Felicio,Chicago Bulls,Power forward,27,4,208.3,122.5,8156500.0,234.0,14.8,4.5,4.1,0.7
Daniel Gafford,Chicago Bulls,Power forward,21,0,208.3,106.1,898310.0,43.0,14.2,5.1,2.5,0.5
Denzel Valentine,Chicago Bulls,Shooting guard,26,2,193.0,99.8,3377569.0,170.0,20.9,7.8,3.6,2.1
Kris Dunn,Chicago Bulls,Small forward,26,3,190.5,93.0,5348007.0,227.0,24.3,8.3,3.3,4.2
Lauri Markkanen,Chicago Bulls,Power forward,22,2,213.4,108.9,5300400.0,170.0,30.6,16.1,7.6,1.3
Luke Kornet,Chicago Bulls,Centre,24,2,218.4,113.4,2250000.0,102.0,16.4,6.6,2.8,1.1
Max Strus,Chicago Bulls,Shooting guard,24,0,195.6,97.5,898310.0,2.0,3.0,2.5,0.5,0.0
Ryan Arcidiacono,Chicago Bulls,Point guard,26,2,190.5,88.5,3000000.0,163.0,19.6,5.2,2.2,2.5
Shaquille Harrison,Chicago Bulls,Point guard,26,2,200.7,86.2,1620564.0,139.0,16.5,6.0,2.7,1.7
Thaddeus Young,Chicago Bulls,Power forward,31,12,203.2,106.6,12900000.0,965.0,30.3,13.2,5.9,1.7
Tomas Satoransky,Chicago Bulls,Shooting guard,28,3,200.7,95.3,10000000.0,275.0,23.3,7.4,3.1,4.1
Zach LaVine,Chicago Bulls,Point guard,25,5,198.1,90.7,19500000.0,353.0,30.8,17.7,3.6,3.6
Alfonzo McKinnie,Cleveland Cavaliers,Small forward,27,2,200.7,97.5,1500000.0,126.0,13.1,4.3,2.9,0.4
Andre Drummond,Cleveland Cavaliers,Centre,26,7,208.3,126.6,27093019.0,599.0,31.0,14.5,13.8,1.3
Ante Zizic,Cleveland Cavaliers,Centre,23,2,208.3,120.7,2281800.0,113.0,13.4,6.0,3.9,0.6
Cedi Osman,Cleveland Cavaliers,Small forward,24,2,200.7,104.3,2907143.0,202.0,24.9,9.6,3.5,1.9
Collin Sexton,Cleveland Cavaliers,Point guard,21,1,185.4,86.2,4764960.0,147.0,32.3,18.5,3.0,3.0
Dante Exum,Cleveland Cavaliers,Point guard,24,4,195.6,97.1,9600000.0,239.0,18.5,5.7,1.8,2.1
Darius Garland,Cleveland Cavaliers,Point guard,20,0,185.4,87.1,6400920.0,59.0,30.9,12.3,1.9,3.9
Dean Wade,Cleveland Cavaliers,Power forward,23,0,205.7,103.4,0.0,12.0,5.9,1.7,1.6,0.2
Dylan Windler,Cleveland Cavaliers,Shooting guard,23,0,198.1,88.9,2035800.0,,,,,
Kevin Love,Cleveland Cavaliers,Power forward,31,11,203.2,113.9,28942830.0,713.0,32.0,18.2,11.1,2.4
Marques Bolden,Cleveland Cavaliers,Centre,21,0,208.3,112.9,,,,,,
Matt Mooney,Cleveland Cavaliers,Shooting guard,25,0,190.5,90.7,0.0,4.0,4.8,0.5,0.8,0.3
Matthew Dellavedova,Cleveland Cavaliers,Point guard,29,6,190.5,90.7,9607500.0,434.0,20.4,5.6,1.8,3.7
Sheldon Mac,Cleveland Cavaliers,Shooting guard,27,1,198.1,91.2,,30.0,9.6,3.0,1.1,0.5
Tristan Thompson,Cleveland Cavaliers,Centre,29,8,205.7,115.2,18539130.0,619.0,28.1,9.4,8.7,1.0
Blake Griffin,Detroit Pistons,Power forward,31,9,205.7,113.4,34449964.0,622.0,34.8,21.7,8.8,4.4
Brandon Knight,Detroit Pistons,Point guard,28,7,188.0,82.6,15643750.0,446.0,29.5,14.1,3.1,4.0
Bruce Brown,Detroit Pistons,Shooting guard,23,1,193.0,91.6,1416852.0,132.0,23.4,6.3,3.5,2.4
Christian Wood,Detroit Pistons,Power forward,24,3,208.3,97.1,1645357.0,113.0,16.2,9.5,4.8,0.6
Derrick Rose,Detroit Pistons,Point guard,31,10,188.0,90.7,7317073.0,596.0,32.6,18.8,3.4,5.6
Donta Hall,Detroit Pistons,Power forward,22,0,205.7,103.9,,4.0,12.0,1.5,3.8,0.5
John Henson,Detroit Pistons,Power forward,29,7,205.7,99.3,9732396.0,445.0,19.7,7.6,5.3,1.1
Jordan Bone,Detroit Pistons,Point guard,22,0,190.5,81.6,0.0,10.0,5.3,1.2,0.4,0.8
Jordan McRae,Detroit Pistons,Shooting guard,29,3,195.6,81.2,1645357.0,123.0,13.8,6.9,1.8,1.4
Khyri Thomas,Detroit Pistons,Shooting guard,23,1,190.5,95.3,1416852.0,34.0,7.5,2.3,0.6,0.3
Langston Galloway,Detroit Pistons,Shooting guard,28,5,185.4,90.7,7333333.0,405.0,23.0,8.5,2.6,1.7
Louis King,Detroit Pistons,Small forward,20,0,200.7,93.0,0.0,10.0,6.2,2.0,1.0,0.5
Luke Kennard,Detroit Pistons,Shooting guard,23,2,195.6,93.4,3827160.0,164.0,23.3,9.8,2.8,2.2
Sekou Doumbouya,Detroit Pistons,Small forward,19,0,203.2,104.3,3285120.0,38.0,19.8,6.4,3.1,0.5
Sviatoslav Mykhailiuk,Detroit Pistons,Shooting guard,22,1,200.7,93.0,1416852.0,98.0,17.4,6.5,1.4,1.5
Thon Maker,Detroit Pistons,Centre,23,3,213.4,100.2,3569643.0,255.0,13.9,4.7,2.8,0.6
Tony Snell,Detroit Pistons,Small forward,28,6,198.1,96.6,11392857.0,501.0,22.5,6.5,2.3,1.2
Aaron Holiday,Indiana Pacers,Point guard,23,1,182.9,83.9,2329200.0,108.0,18.6,7.8,1.8,2.6
Alize Johnson,Indiana Pacers,Power forward,23,1,200.7,96.2,1416852.0,27.0,4.4,1.1,1.4,0.1
Domantas Sabonis,Indiana Pacers,Power forward,23,3,210.8,108.9,3529555.0,291.0,25.6,12.1,8.0,2.6
Doug McDermott,Indiana Pacers,Small forward,28,5,200.7,102.1,7333333.0,403.0,20.0,8.2,2.2,0.8
Edmond Sumner,Indiana Pacers,Point guard,24,2,193.0,88.9,2000000.0,49.0,11.4,3.7,1.3,1.0
Goga Bitadze,Indiana Pacers,Centre,20,0,210.8,113.4,2816760.0,49.0,8.4,3.1,2.0,0.4
JaKarr Sampson,Indiana Pacers,Small forward,27,4,200.7,97.1,1620564.0,199.0,15.6,5.3,2.6,0.7
Jeremy Lamb,Indiana Pacers,Shooting guard,27,7,195.6,81.6,10500000.0,481.0,21.2,10.5,3.7,1.6
Justin Holiday,Indiana Pacers,Small forward,30,6,198.1,81.6,4767000.0,422.0,23.0,8.2,2.9,1.4
Malcolm Brogdon,Indiana Pacers,Point guard,27,3,195.6,103.9,20000000.0,235.0,28.6,13.5,3.8,4.3
Myles Turner,Indiana Pacers,Centre,24,4,210.8,113.4,18000000.0,335.0,28.3,12.7,6.7,1.2
Victor Oladipo,Indiana Pacers,Shooting guard,27,6,193.0,96.6,21000000.0,415.0,33.0,17.4,4.6,3.9
Brook Lopez,Milwaukee Bucks,Centre,31,11,213.4,127.9,12093023.0,778.0,30.6,16.8,6.4,1.5
Cameron Reynolds,Milwaukee Bucks,Shooting guard,25,1,200.7,102.1,0.0,19.0,13.6,5.0,1.6,0.7
Donte DiVincenzo,Milwaukee Bucks,Shooting guard,23,1,193.0,92.1,2905800.0,86.0,20.6,8.0,4.1,1.9
Eric Bledsoe,Milwaukee Bucks,Point guard,30,9,185.4,97.1,15625000.0,626.0,27.8,14.2,4.0,4.8
Ersan Ilyasova,Milwaukee Bucks,Power forward,32,11,205.7,106.6,7000000.0,801.0,23.4,10.3,5.8,1.1
George Hill,Milwaukee Bucks,Point guard,33,11,190.5,85.3,9133907.0,778.0,27.7,11.1,3.1,3.2
Giannis Antetokounmpo,Milwaukee Bucks,Power forward,25,6,210.8,109.8,25842697.0,522.0,32.5,20.0,8.9,4.3
Khris Middleton,Milwaukee Bucks,Small forward,28,7,200.7,100.7,30603448.0,510.0,31.5,16.3,4.6,3.3
Kyle Korver,Milwaukee Bucks,Shooting guard,39,16,200.7,96.2,1620564.0,1224.0,25.4,9.7,3.0,1.7
Marvin Williams,Milwaukee Bucks,Power forward,33,14,203.2,107.5,604278.0,1066.0,28.2,10.3,5.2,1.3
Pat Connaughton,Milwaukee Bucks,Shooting guard,27,4,195.6,94.8,1723050.0,277.0,15.6,4.7,2.8,1.2
Robin Lopez,Milwaukee Bucks,Centre,31,11,213.4,127.5,4767000.0,826.0,22.4,8.8,5.1,0.8
Sterling Brown,Milwaukee Bucks,Shooting guard,25,2,195.6,99.3,1618520.0,157.0,15.8,5.2,3.1,1.0
Thanasis Antetokounmpo,Milwaukee Bucks,Small forward,27,1,198.1,99.3,1445697.0,20.0,5.0,2.6,1.0,0.5
Wesley Matthews,Milwaukee Bucks,Shooting guard,33,10,193.0,99.8,2564753.0,786.0,31.9,13.2,3.1,2.2
Brandon Goodwin,Atlanta Hawks,Point guard,24,1,182.9,81.6,522738.0,50.0,9.7,4.6,1.5,1.3
Bruno Fernando,Atlanta Hawks,Centre,21,0,205.7,108.9,1400000.0,56.0,12.7,4.3,3.5,0.9
Cam Reddish,Atlanta Hawks,Shooting guard,20,0,203.2,98.9,4245720.0,58.0,26.7,10.5,3.7,1.5
Clint Capela,Atlanta Hawks,Centre,25,5,208.3,108.9,14896552.0,334.0,26.0,12.2,9.7,1.0
Damian Jones,Atlanta Hawks,Centre,24,3,210.8,111.1,2305057.0,104.0,14.1,4.6,3.1,0.6
Dewayne Dedmon,Atlanta Hawks,Centre,30,6,213.4,111.1,13333333.0,394.0,18.3,6.4,6.0,0.7
Jeff Teague,Atlanta Hawks,Point guard,31,10,190.5,88.5,19000000.0,771.0,27.5,12.6,2.5,5.8
John Collins,Atlanta Hawks,Power forward,22,2,205.7,106.6,2686560.0,176.0,28.3,16.2,8.8,1.6
Kevin Huerter,Atlanta Hawks,Shooting guard,21,1,200.7,86.2,2636280.0,131.0,29.1,10.8,3.6,3.3
Skal Labissiere,Atlanta Hawks,Power forward,24,3,208.3,106.6,2338847.0,148.0,17.5,7.2,4.5,1.0
Trae Young,Atlanta Hawks,Point guard,21,1,185.4,81.6,6273000.0,141.0,32.8,23.6,3.9,8.6
Treveon Graham,Atlanta Hawks,Shooting guard,26,3,195.6,99.3,1645357.0,180.0,16.0,4.2,2.2,0.8
Vince Carter,Atlanta Hawks,Shooting guard,43,21,198.1,99.8,1620564.0,1541.0,30.1,16.7,4.3,3.1
Bismack Biyombo,Charlotte Hornets,Centre,27,8,203.2,115.7,17000000.0,636.0,20.2,5.1,6.2,0.5
Caleb Martin,Charlotte Hornets,Small forward,24,0,195.6,93.0,898310.0,18.0,17.6,6.2,2.1,1.3
Cody Martin,Charlotte Hornets,Small forward,24,0,195.6,93.0,1173310.0,48.0,18.8,5.0,3.3,2.0
Cody Zeller,Charlotte Hornets,Centre,27,6,213.4,108.9,14471910.0,419.0,22.9,8.6,6.0,1.4
Dwayne Bacon,Charlotte Hornets,Shooting guard,24,2,198.1,100.2,1618520.0,135.0,16.0,5.3,2.3,1.0
Jalen McDaniels,Charlotte Hornets,Power forward,22,0,208.3,93.0,898310.0,16.0,18.3,5.6,4.1,0.8
Joe Chealey,Charlotte Hornets,Point guard,24,1,190.5,86.2,,5.0,8.2,0.8,0.0,0.4
Kobi Simmons,Charlotte Hornets,Point guard,22,2,195.6,81.6,0.0,33.0,19.5,5.9,1.5,2.1
Malik Monk,Charlotte Hornets,Shooting guard,22,2,190.5,90.7,4028400.0,191.0,17.2,8.6,1.9,1.7
Miles Bridges,Charlotte Hornets,Small forward,22,1,198.1,102.1,3755400.0,145.0,25.5,9.9,4.7,1.4
Nicolas Batum,Charlotte Hornets,Shooting guard,31,11,205.7,104.3,25565217.0,789.0,31.3,11.6,5.2,3.8
PJ Washington,Charlotte Hornets,Power forward,21,0,200.7,104.3,3831840.0,58.0,30.3,12.2,5.4,2.1
Ray Spalding,Charlotte Hornets,Power forward,23,1,208.3,97.5,0.0,14.0,10.6,3.9,3.4,0.4
Terry Rozier,Charlotte Hornets,Point guard,26,4,185.4,86.2,19894737.0,335.0,22.7,9.6,3.7,2.7
Willy Hernangomez,Charlotte Hornets,Centre,25,3,210.8,113.4,1676735.0,209.0,14.4,6.9,5.4,1.0
Andre Iguodala,Miami Heat,Shooting guard,36,15,198.1,97.5,17185185.0,1122.0,33.2,12.0,5.1,4.3
Bam Adebayo,Miami Heat,Power forward,22,2,205.7,115.7,3454080.0,216.0,25.5,10.5,7.7,2.9
Chris Silva,Miami Heat,Power forward,23,0,203.2,106.1,466918.0,41.0,7.5,2.9,2.7,0.5
Duncan Robinson,Miami Heat,Shooting guard,25,1,200.7,97.5,1416852.0,80.0,26.4,11.4,2.9,1.2
Gabe Vincent,Miami Heat,Point guard,23,0,190.5,90.7,0.0,6.0,7.0,2.0,0.5,0.5
Goran Dragic,Miami Heat,Point guard,33,11,190.5,86.2,19217900.0,812.0,28.0,13.9,3.1,4.8
Jae Crowder,Miami Heat,Small forward,29,7,198.1,106.6,7815533.0,601.0,24.7,9.5,4.1,1.5
Jimmy Butler,Miami Heat,Small forward,30,8,200.7,104.3,32742000.0,577.0,33.1,17.0,5.1,3.7
KZ Okpala,Miami Heat,Small forward,20,0,203.2,97.5,898310.0,5.0,5.2,1.4,1.0,0.2
Kelly Olynyk,Miami Heat,Power forward,28,6,210.8,108.9,12667885.0,492.0,21.2,9.6,4.8,1.9
Kendrick Nunn,Miami Heat,Shooting guard,24,0,188.0,86.2,1416852.0,62.0,29.8,15.6,2.7,3.4
Kyle Alexander,Miami Heat,Forward,23,0,210.8,99.8,,,,,,
Meyers Leonard,Miami Heat,Centre,28,7,213.4,117.9,11286516.0,442.0,16.0,5.6,3.9,0.9
Solomon Hill,Miami Heat,Small forward,29,6,198.1,102.5,12758781.0,359.0,22.0,5.8,3.2,1.6
Tyler Herro,Miami Heat,Shooting guard,20,0,195.6,88.5,3640200.0,47.0,27.2,12.9,4.0,1.9
Udonis Haslem,Miami Heat,Power forward,39,16,203.2,106.6,1620564.0,857.0,25.1,7.6,6.7,0.9
Aaron Gordon,Orlando Magic,Power forward,24,5,203.2,106.6,19863636.0,399.0,28.6,12.7,6.4,2.4
BJ Johnson,Orlando Magic,Small forward,24,1,200.7,90.7,0.0,15.0,6.3,2.4,0.9,0.1
Evan Fournier,Orlando Magic,Shooting guard,27,7,200.7,93.0,17150000.0,518.0,28.4,14.1,2.7,2.6
Gary Clark,Orlando Magic,Power forward,25,1,198.1,102.1,,86.0,12.4,3.0,2.3,0.4
Jonathan Isaac,Orlando Magic,Power forward,22,2,210.8,104.3,5806440.0,134.0,26.0,9.3,5.5,1.1
Khem Birch,Orlando Magic,Power forward,27,2,205.7,105.7,3000000.0,132.0,15.1,4.3,4.2,0.8
Markelle Fultz,Orlando Magic,Point guard,21,2,190.5,94.8,9745200.0,97.0,25.7,10.6,3.4,4.6
Mo Bamba,Orlando Magic,Centre,21,1,213.4,104.8,5697600.0,107.0,15.3,5.8,5.0,0.8
Nikola Vucevic,Orlando Magic,Centre,29,8,210.8,117.9,28000000.0,590.0,30.3,16.0,10.2,2.6
Terrence Ross,Orlando Magic,Shooting guard,29,7,198.1,93.4,12500000.0,555.0,24.6,11.0,2.8,1.1
Vic Law,Orlando Magic,Forward,24,0,200.7,90.7,0.0,5.0,1.8,0.0,0.2,0.0
Wes Iwundu,Orlando Magic,Small forward,25,2,198.1,88.5,1618420.0,175.0,17.5,4.6,2.5,1.0
Admiral Schofield,Washington Wizards,Shooting guard,23,0,195.6,109.3,1000000.0,27.0,10.9,3.1,1.3,0.5
