player,team,position,height_cm,weight_kg
Jason Johannisen,Westernbulldogs,Unknown,176,68
Nick Lower,Westernbulldogs,Unknown,189,83
Tory Dickson,Westernbulldogs,Unknown,180,78
Michael Talia,Westernbulldogs,Unknown,192,88
Liam Jones,Westernbulldogs,Unknown,197,98
Jarrad Grant,Westernbulldogs,Unknown,192,83
Jason Tutt,Westernbulldogs,Unknown,177,77
Dylan Addison,Westernbulldogs,Unknown,185,86
Lachie Hunter,Westernbulldogs,Unknown,181,80
Nathan Hrovat,Westernbulldogs,Unknown,175,77
Jake Stringer,Westernbulldogs,Unknown,191,93
Mark Austin,Westernbulldogs,Unknown,193,93
Easton Wood,Westernbulldogs,Unknown,185,84
Tom Campbell,Westernbulldogs,Unknown,201,98
Shaun Higgins,Westernbulldogs,Unknown,184,88
Ayce Cordy,Westernbulldogs,Unknown,202,99
Lukas Markovic,Westernbulldogs,Unknown,193,95
Tom Williams,Westernbulldogs,Unknown,196,101
Christian Howard,Westernbulldogs,Unknown,184,81
Patrick Veszpremi,Westernbulldogs,Unknown,181,84
